GEO_ID,NAME(zip),S1903_C01_001E(num_households),S1903_C03_001E(median_indome),S1903_C03_001M(income_SE)
860Z200US51360,ZCTA5 51360,3991,65529,4712
860Z200US55001,ZCTA5 55001,1179,114867,17812
860Z200US55003,ZCTA5 55003,1014,92292,17829
860Z200US55005,ZCTA5 55005,1580,99286,12498
860Z200US55006,ZCTA5 55006,1376,56768,4629
860Z200US55007,ZCTA5 55007,954,57500,8668
860Z200US55008,ZCTA5 55008,6147,76133,5201
860Z200US55009,ZCTA5 55009,3277,78697,5817
860Z200US55011,ZCTA5 55011,3817,115617,3320
860Z200US55012,ZCTA5 55012,683,81815,9253
860Z200US55013,ZCTA5 55013,2644,91500,11335
860Z200US55014,ZCTA5 55014,10394,92235,3559
860Z200US55016,ZCTA5 55016,12719,108159,5348
860Z200US55017,ZCTA5 55017,300,65333,18143
860Z200US55018,ZCTA5 55018,381,85903,12548
860Z200US55019,ZCTA5 55019,751,97902,6495
860Z200US55020,ZCTA5 55020,1373,135375,30605
860Z200US55021,ZCTA5 55021,11406,63340,6593
860Z200US55024,ZCTA5 55024,12212,107338,3724
860Z200US55025,ZCTA5 55025,9845,92675,6299
860Z200US55026,ZCTA5 55026,160,93750,25101
860Z200US55027,ZCTA5 55027,981,82171,7541
860Z200US55029,ZCTA5 55029,26,58750,15401
860Z200US55030,ZCTA5 55030,486,60962,12816
860Z200US55031,ZCTA5 55031,651,99028,10074
860Z200US55032,ZCTA5 55032,1283,99438,6668
860Z200US55033,ZCTA5 55033,11427,91376,3230
860Z200US55036,ZCTA5 55036,23,30208,8646
860Z200US55037,ZCTA5 55037,1890,52927,4743
860Z200US55038,ZCTA5 55038,8520,113509,11384
860Z200US55040,ZCTA5 55040,5107,80849,7764
860Z200US55041,ZCTA5 55041,3301,70924,5781
860Z200US55042,ZCTA5 55042,4138,161618,23558
860Z200US55043,ZCTA5 55043,1532,89435,3545
860Z200US55044,ZCTA5 55044,20177,124899,4002
860Z200US55045,ZCTA5 55045,2844,103929,15492
860Z200US55046,ZCTA5 55046,2042,88357,12353
860Z200US55047,ZCTA5 55047,956,98864,23460
860Z200US55049,ZCTA5 55049,918,80000,10307
860Z200US55051,ZCTA5 55051,3795,60194,3327
860Z200US55052,ZCTA5 55052,745,70655,7480
860Z200US55053,ZCTA5 55053,343,84792,8880
860Z200US55054,ZCTA5 55054,795,140579,20324
860Z200US55055,ZCTA5 55055,1706,58455,7747
860Z200US55056,ZCTA5 55056,5229,91229,8063
860Z200US55057,ZCTA5 55057,7818,81097,7026
860Z200US55060,ZCTA5 55060,12016,74049,3716
860Z200US55063,ZCTA5 55063,3799,64207,3184
860Z200US55065,ZCTA5 55065,470,101563,9545
860Z200US55066,ZCTA5 55066,8107,64603,4397
860Z200US55068,ZCTA5 55068,11078,113598,5182
860Z200US55069,ZCTA5 55069,1918,62583,8049
860Z200US55070,ZCTA5 55070,2787,89242,5556
860Z200US55071,ZCTA5 55071,2298,85222,7702
860Z200US55072,ZCTA5 55072,1341,46616,3421
860Z200US55073,ZCTA5 55073,1309,119188,23012
860Z200US55074,ZCTA5 55074,851,96750,7167
860Z200US55075,ZCTA5 55075,8326,71283,4875
860Z200US55076,ZCTA5 55076,9258,86862,6392
860Z200US55077,ZCTA5 55077,5283,92808,8706
860Z200US55079,ZCTA5 55079,3239,94439,4421
860Z200US55080,ZCTA5 55080,1104,90179,13123
860Z200US55082,ZCTA5 55082,13914,105207,4457
860Z200US55084,ZCTA5 55084,686,70000,12967
860Z200US55085,ZCTA5 55085,170,89167,16634
860Z200US55087,ZCTA5 55087,166,111964,19522
860Z200US55088,ZCTA5 55088,604,115833,15487
860Z200US55089,ZCTA5 55089,611,89813,12898
860Z200US55090,ZCTA5 55090,162,60962,19575
860Z200US55092,ZCTA5 55092,4178,86648,6030
860Z200US55101,ZCTA5 55101,4662,66292,8241
860Z200US55102,ZCTA5 55102,10142,64270,4041
860Z200US55103,ZCTA5 55103,5246,41101,1582
860Z200US55104,ZCTA5 55104,18023,65905,4331
860Z200US55105,ZCTA5 55105,11104,100818,7228
860Z200US55106,ZCTA5 55106,18707,56634,2619
860Z200US55107,ZCTA5 55107,5395,59819,7080
860Z200US55108,ZCTA5 55108,6585,78708,5452
860Z200US55109,ZCTA5 55109,12628,70222,5391
860Z200US55110,ZCTA5 55110,15822,89965,4628
860Z200US55111,ZCTA5 55111,95,-,**
860Z200US55112,ZCTA5 55112,17360,82197,4108
860Z200US55113,ZCTA5 55113,18225,78262,4529
860Z200US55114,ZCTA5 55114,1751,63651,9725
860Z200US55115,ZCTA5 55115,3237,123092,9133
860Z200US55116,ZCTA5 55116,12167,70036,7032
860Z200US55117,ZCTA5 55117,16654,62558,4940
860Z200US55118,ZCTA5 55118,12466,72938,6803
860Z200US55119,ZCTA5 55119,15958,66772,4735
860Z200US55120,ZCTA5 55120,2058,97097,13607
860Z200US55121,ZCTA5 55121,3761,69932,10998
860Z200US55122,ZCTA5 55122,13628,83602,5362
860Z200US55123,ZCTA5 55123,10191,123393,7837
860Z200US55124,ZCTA5 55124,21128,91936,2909
860Z200US55125,ZCTA5 55125,17239,106573,5892
860Z200US55126,ZCTA5 55126,11640,101414,6686
860Z200US55127,ZCTA5 55127,7488,108664,12785
860Z200US55128,ZCTA5 55128,11641,77327,5847
860Z200US55129,ZCTA5 55129,9981,136428,9443
860Z200US55130,ZCTA5 55130,5897,45840,4890
860Z200US55150,ZCTA5 55150,58,83750,35528
860Z200US55155,ZCTA5 55155,0,-,**
860Z200US55301,ZCTA5 55301,4436,102270,18137
860Z200US55302,ZCTA5 55302,2854,78522,5350
860Z200US55303,ZCTA5 55303,19090,92205,4552
860Z200US55304,ZCTA5 55304,16651,115111,5042
860Z200US55305,ZCTA5 55305,9979,95701,9697
860Z200US55306,ZCTA5 55306,6166,81818,6940
860Z200US55307,ZCTA5 55307,1262,69464,5996
860Z200US55308,ZCTA5 55308,3198,93917,8919
860Z200US55309,ZCTA5 55309,6920,101917,10269
860Z200US55310,ZCTA5 55310,607,62455,5712
860Z200US55311,ZCTA5 55311,13888,135471,6630
860Z200US55312,ZCTA5 55312,530,78750,10123
860Z200US55313,ZCTA5 55313,9246,82389,8687
860Z200US55314,ZCTA5 55314,421,62708,11362
860Z200US55315,ZCTA5 55315,2219,116319,8582
860Z200US55316,ZCTA5 55316,8725,104200,10100
860Z200US55317,ZCTA5 55317,8057,118598,7405
860Z200US55318,ZCTA5 55318,10940,96502,6109
860Z200US55319,ZCTA5 55319,1903,97660,9641
860Z200US55320,ZCTA5 55320,1927,90550,9720
860Z200US55321,ZCTA5 55321,1856,72402,5646
860Z200US55322,ZCTA5 55322,1403,101607,8621
860Z200US55324,ZCTA5 55324,461,75859,4201
860Z200US55325,ZCTA5 55325,1702,77500,4095
860Z200US55327,ZCTA5 55327,1825,119986,29255
860Z200US55328,ZCTA5 55328,3457,95296,11852
860Z200US55329,ZCTA5 55329,731,73348,7169
860Z200US55330,ZCTA5 55330,15212,98676,6621
860Z200US55331,ZCTA5 55331,7382,144697,10148
860Z200US55332,ZCTA5 55332,765,52292,6212
860Z200US55333,ZCTA5 55333,252,66875,11399
860Z200US55334,ZCTA5 55334,1089,58861,9431
860Z200US55335,ZCTA5 55335,666,46774,7028
860Z200US55336,ZCTA5 55336,3088,66813,7459
860Z200US55337,ZCTA5 55337,18906,77416,5835
860Z200US55338,ZCTA5 55338,428,70417,12770
860Z200US55339,ZCTA5 55339,362,83125,25151
860Z200US55340,ZCTA5 55340,3055,166953,19130
860Z200US55341,ZCTA5 55341,1154,126184,17821
860Z200US55342,ZCTA5 55342,723,58352,5608
860Z200US55343,ZCTA5 55343,12711,71659,4572
860Z200US55344,ZCTA5 55344,6850,80939,4081
860Z200US55345,ZCTA5 55345,8680,120204,9804
860Z200US55346,ZCTA5 55346,6572,123596,10703
860Z200US55347,ZCTA5 55347,11604,148322,12487
860Z200US55349,ZCTA5 55349,1482,84655,14614
860Z200US55350,ZCTA5 55350,7833,66345,7135
860Z200US55352,ZCTA5 55352,3435,103681,15241
860Z200US55353,ZCTA5 55353,1193,87232,6778
860Z200US55354,ZCTA5 55354,990,84881,9079
860Z200US55355,ZCTA5 55355,3940,61367,6163
860Z200US55356,ZCTA5 55356,2171,158137,15228
860Z200US55357,ZCTA5 55357,1124,130871,9199
860Z200US55358,ZCTA5 55358,1939,83583,8212
860Z200US55359,ZCTA5 55359,2400,118571,30597
860Z200US55360,ZCTA5 55360,1102,104365,2815
860Z200US55362,ZCTA5 55362,7250,83714,8185
860Z200US55363,ZCTA5 55363,1876,77609,6692
860Z200US55364,ZCTA5 55364,6242,103714,16855
860Z200US55366,ZCTA5 55366,208,46250,27184
860Z200US55367,ZCTA5 55367,374,73750,13204
860Z200US55368,ZCTA5 55368,737,74907,7617
860Z200US55369,ZCTA5 55369,15340,101162,4323
860Z200US55370,ZCTA5 55370,217,86250,23207
860Z200US55371,ZCTA5 55371,6376,81312,5960
860Z200US55372,ZCTA5 55372,12052,122563,7126
860Z200US55373,ZCTA5 55373,2093,84141,15664
860Z200US55374,ZCTA5 55374,5329,131779,20543
860Z200US55375,ZCTA5 55375,1353,109489,20418
860Z200US55376,ZCTA5 55376,6078,119000,11264
860Z200US55378,ZCTA5 55378,11228,115456,7011
860Z200US55379,ZCTA5 55379,16637,95602,4732
860Z200US55381,ZCTA5 55381,786,71944,11693
860Z200US55382,ZCTA5 55382,1395,82642,5105
860Z200US55384,ZCTA5 55384,1232,47117,7723
860Z200US55385,ZCTA5 55385,470,65455,7714
860Z200US55386,ZCTA5 55386,3143,165591,10669
860Z200US55387,ZCTA5 55387,5166,96210,11536
860Z200US55388,ZCTA5 55388,2132,93145,12790
860Z200US55389,ZCTA5 55389,933,77629,8948
860Z200US55390,ZCTA5 55390,1076,99519,8639
860Z200US55391,ZCTA5 55391,6557,131068,13033
860Z200US55395,ZCTA5 55395,1125,63603,13778
860Z200US55396,ZCTA5 55396,949,62056,5408
860Z200US55397,ZCTA5 55397,1102,80530,15191
860Z200US55398,ZCTA5 55398,5868,98200,8723
860Z200US55401,ZCTA5 55401,7317,106756,10324
860Z200US55402,ZCTA5 55402,415,61360,9143
860Z200US55403,ZCTA5 55403,11021,55520,6443
860Z200US55404,ZCTA5 55404,12410,37029,3047
860Z200US55405,ZCTA5 55405,8047,64504,8241
860Z200US55406,ZCTA5 55406,16397,77888,4922
860Z200US55407,ZCTA5 55407,14981,70125,3555
860Z200US55408,ZCTA5 55408,15990,64911,3997
860Z200US55409,ZCTA5 55409,4821,86061,6890
860Z200US55410,ZCTA5 55410,8389,135260,8017
860Z200US55411,ZCTA5 55411,9979,44096,5146
860Z200US55412,ZCTA5 55412,8907,54594,2530
860Z200US55413,ZCTA5 55413,6951,72354,6438
860Z200US55414,ZCTA5 55414,12403,43001,4315
860Z200US55415,ZCTA5 55415,2593,118079,24751
860Z200US55416,ZCTA5 55416,17390,93875,4131
860Z200US55417,ZCTA5 55417,10820,107586,4860
860Z200US55418,ZCTA5 55418,13878,80600,6177
860Z200US55419,ZCTA5 55419,11270,119639,8291
860Z200US55420,ZCTA5 55420,8917,66370,7188
860Z200US55421,ZCTA5 55421,12249,67955,5148
860Z200US55422,ZCTA5 55422,12332,80400,4372
860Z200US55423,ZCTA5 55423,15679,74415,2882
860Z200US55424,ZCTA5 55424,3735,206038,28837
860Z200US55425,ZCTA5 55425,4191,64205,5848
860Z200US55426,ZCTA5 55426,12014,84911,4320
860Z200US55427,ZCTA5 55427,10686,85042,9150
860Z200US55428,ZCTA5 55428,12983,61980,7527
860Z200US55429,ZCTA5 55429,10251,59120,4645
860Z200US55430,ZCTA5 55430,7796,66038,6123
860Z200US55431,ZCTA5 55431,8297,96486,4807
