"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
" ","[not in a ZCTA]",795.9673,1 
"51360","Spirit Lake, IA",3.1396,1 
"55001","Afton, MN",26.9913,1 
"55003","Bayport, MN",2.0739,1 
"55005","East Bethel, MN",18.9472,1 
"55006","Braham, MN",76.4023,1 
"55007","Brook Park, MN",118.2879,1 
"55008","Cambridge, MN",100.3497,1 
"55009","Cannon Falls, MN",122.4972,1 
"55011","East Bethel, MN",45.8737,1 
"55012","Center City, MN",23.7133,1 
"55013","Chisago City, MN",27.6267,1 
"55014","Lino Lakes, MN",20.265,1 
"55016","Cottage Grove, MN",30.1039,1 
"55017","Dalbo, MN",25.8947,1 
"55018","Dennison, MN",44.5364,1 
"55019","Dundas, MN",20.4609,1 
"55020","Elko New Market, MN",23.8087,1 
"55021","Faribault, MN",177.0005,1 
"55024","Farmington, MN",85.0793,1 
"55025","Forest Lake, MN",77.055,1 
"55026","Frontenac, MN",3.5827,1 
"55027","Goodhue, MN",116.9152,1 
"55029","Grandy, MN (PO Boxes)",0.2562,1 
"55030","Grasston, MN",39.1795,1 
"55031","Hampton, MN",40.6564,1 
"55032","Harris, MN",67.8418,1 
"55033","Hastings, MN",144.2782,1 
"55036","Henriette, MN",0.2807,1 
"55037","Hinckley, MN",306.3571,1 
"55038","Hugo, MN",50.4955,1 
"55040","Isanti, MN",98.0717,1 
"55041","Lake City, MN",143.9346,1 
"55042","Lake Elmo, MN",24.8823,1 
"55043","Lakeland, MN",3.7635,1 
"55044","Lakeville, MN",65.2663,1 
"55045","Lindstrom, MN",34.8131,1 
"55046","Lonsdale, MN",44.5963,1 
"55047","Scandia, MN",29.2366,1 
"55049","Medford, MN",46.3107,1 
"55051","Mora, MN",217.7416,1 
"55052","Morristown, MN",44.9682,1 
"55053","Nerstrand, MN",49.0528,1 
"55054","Elko New Market, MN",1.0239,1 
"55055","Newport, MN",3.623,1 
"55056","North Branch, MN",99.5213,1 
"55057","Northfield, MN",124.7318,1 
"55060","Owatonna, MN",203.4376,1 
"55063","Pine City, MN",159.2219,1 
"55065","Randolph, MN",32.6889,1 
"55066","Red Wing, MN",120.9241,1 
"55068","Rosemount, MN",45.9654,1 
"55069","Rush City, MN",74.0113,1 
"55070","St. Francis, MN",25.4832,1 
"55071","St. Paul Park, MN",4.9982,1 
"55072","Sandstone, MN",352.7717,1 
"55073","Scandia, MN",28.0148,1 
"55074","Shafer, MN",34.3105,1 
"55075","South St. Paul, MN",5.5899,1 
"55076","Inver Grove Heights, MN",9.9215,1 
"55077","Inver Grove Heights, MN",18.152,1 
"55079","Stacy, MN",63.644,1 
"55080","Stanchfield, MN",68.5227,1 
"55082","Stillwater, MN",79.2146,1 
"55084","Taylors Falls, MN",24.8204,1 
"55085","Vermillion, MN",0.9197,1 
"55087","Warsaw, MN",1.1052,1 
"55088","Webster, MN",36.745,1 
"55089","Welch, MN",67.1159,1 
"55090","Willernie, MN",0.1137,1 
"55092","Wyoming, MN",33.6252,1 
"55101","St. Paul, MN",0.7779,1 
"55102","St. Paul, MN",3.283,1 
"55103","St. Paul, MN",1.9736,1 
"55104","St. Paul, MN",6.0347,1 
"55105","St. Paul, MN",3.4985,1 
"55106","St. Paul, MN",9.421,1 
"55107","St. Paul, MN",4.1088,1 
"55108","St. Paul, MN",3.9966,1 
"55109","Maplewood, MN",11.6835,1 
"55110","White Bear Lake, MN",24.7273,1 
"55111","Saint Paul, MN",2.2919,1 
"55112","New Brighton, MN",17.4645,1 
"55113","Roseville, MN",14.845,1 
"55114","St. Paul, MN",1.3264,1 
"55115","Mahtomedi, MN",6.0917,1 
"55116","St. Paul, MN",5.5304,1 
"55117","St. Paul, MN",9.1566,1 
"55118","West St. Paul, MN",10.4668,1 
"55119","St. Paul, MN",13.2054,1 
"55120","Mendota Heights, MN",5.407,1 
"55121","Eagan, MN",9.6115,1 
"55122","Eagan, MN",10.7665,1 
"55123","Eagan, MN",10.7644,1 
"55124","Apple Valley, MN",16.8643,1 
"55125","Woodbury, MN",15.3482,1 
"55126","Shoreview, MN",13.7104,1 
"55127","Vadnais Heights, MN",13.4649,1 
"55128","Oakdale, MN",11.2292,1 
"55129","Woodbury, MN",19.5258,1 
"55130","St. Paul, MN",2.019,1 
"55150","Mendota, MN",0.3007,1 
"55155","State Offices, Saint Paul, MN",0.2263,1 
"55301","Albertville, MN",8.1756,1 
"55302","Annandale, MN",67.8615,1 
"55303","Ramsey, MN",64.3627,1 
"55304","Andover, MN",68.6164,1 
"55305","Minnetonka, MN",9.3104,1 
"55306","Burnsville, MN",6.2247,1 
"55307","Arlington, MN",74.1115,1 
"55308","Becker, MN",60.4518,1 
"55309","Big Lake, MN",62.3069,1 
"55310","Bird Island, MN",96.2139,1 
"55311","Maple Grove, MN",16.4283,1 
"55312","Brownton, MN",73.5757,1 
"55313","Buffalo, MN",107.7408,1 
"55314","Buffalo Lake, MN",72.6844,1 
"55315","Carver, MN",27.444,1 
"55316","Champlin, MN",8.151,1 
"55317","Chanhassen, MN",13.148,1 
"55318","Chaska, MN",39.9237,1 
"55319","Clear Lake, MN",71.3317,1 
"55320","Clearwater, MN",48.7682,1 
"55321","Cokato, MN",81.0059,1 
"55322","Cologne, MN",57.1729,1 
"55324","Darwin, MN",35.2079,1 
"55325","Dassel, MN",76.6138,1 
"55327","Dayton, MN",17.5695,1 
"55328","Delano, MN",44.8895,1 
"55329","Eden Valley, MN",50.5336,1 
"55330","Elk River, MN",106.6197,1 
"55331","Shorewood, MN",16.3168,1 
"55332","Fairfax, MN",114.302,1 
"55333","Franklin, MN",68.7896,1 
"55334","Gaylord, MN",84.8572,1 
"55335","Gibbon, MN",111.3155,1 
"55336","Glencoe, MN",135.7785,1 
"55337","Burnsville, MN",18.7171,1 
"55338","Green Isle, MN",40.7728,1 
"55339","Hamburg, MN",22.8754,1 
"55340","Corcoran, MN",35.6389,1 
"55341","Hanover, MN",4.8509,1 
"55342","Hector, MN",161.6727,1 
"55343","Hopkins, MN",7.6962,1 
"55344","Eden Prairie, MN",8.8596,1 
"55345","Minnetonka, MN",11.3673,1 
"55346","Eden Prairie, MN",6.7616,1 
"55347","Eden Prairie, MN",16.8629,1 
"55349","Howard Lake, MN",62.2934,1 
"55350","Hutchinson, MN",159.8798,1 
"55352","Jordan, MN",67.6068,1 
"55353","Kimball, MN",81.207,1 
"55354","Lester Prairie, MN",32.4367,1 
"55355","Litchfield, MN",171.723,1 
"55356","Orono, MN",13.0508,1 
"55357","Greenfield, MN",19.5168,1 
"55358","Maple Lake, MN",54.5604,1 
"55359","Independence, MN",42.7259,1 
"55360","Mayer, MN",30.6218,1 
"55362","Monticello, MN",65.2865,1 
"55363","Montrose, MN",28.0059,1 
"55364","Mound, MN",15.1742,1 
"55366","New Auburn, MN",0.4775,1 
"55367","New Germany, MN",19.2984,1 
"55368","Norwood Young America, MN",34.1744,1 
"55369","Maple Grove, MN",24.7529,1 
"55370","Plato, MN",20.6671,1 
"55371","Princeton, MN",195.9987,1 
"55372","Prior Lake, MN",58.5059,1 
"55373","Rockford, MN",10.6816,1 
"55374","Rogers, MN",34.2276,1 
"55375","St. Bonifacius, MN",5.1439,1 
"55376","St. Michael, MN",29.2433,1 
