,0
0,2
1,1
2,1
3,1
4,2
5,1
6,2
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,2
15,1
16,2
17,2
18,2
19,1
20,1
21,1
22,1
23,1
24,2
25,1
26,1
27,2
28,2
29,1
30,2
31,2
32,2
33,1
34,2
35,2
36,1
37,1
38,2
39,1
40,2
41,2
42,2
43,1
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,1
53,2
54,2
55,1
56,2
57,1
58,1
59,2
60,2
61,1
62,1
63,1
64,1
65,2
66,2
67,1
68,1
69,1
70,2
71,2
72,2
73,2
74,2
75,1
76,2
77,2
78,2
79,2
80,2
81,2
82,1
83,2
84,1
85,1
86,1
87,1
88,1
89,2
90,2
91,1
92,2
93,1
94,2
95,1
96,1
97,2
98,1
99,1
100,1
101,2
102,2
103,2
104,1
105,2
106,1
107,2
108,2
109,1
110,1
111,2
112,1
113,2
114,1
115,1
116,1
117,1
118,2
119,1
120,2
121,2
122,1
123,1
124,1
125,1
126,1
127,1
128,2
129,1
130,2
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,2
139,2
140,2
141,1
142,2
143,1
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,2
165,2
166,1
167,2
168,1
169,2
170,2
171,2
172,1
173,1
174,1
175,2
176,1
177,1
178,2
179,1
180,1
181,2
182,1
183,1
184,1
185,2
186,2
187,1
188,1
189,1
190,1
191,2
192,1
193,2
194,1
195,1
196,1
197,2
198,2
199,2
200,1
201,2
202,2
203,1
204,2
205,1
206,1
207,2
208,1
209,2
210,2
211,1
212,2
213,1
214,2
215,1
216,2
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,2
225,1
226,2
227,1
228,1
229,1
230,2
231,1
232,2
233,1
234,1
235,2
236,1
237,2
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,2
249,1
250,1
251,1
252,1
253,1
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,1
265,2
266,1
267,1
268,2
269,2
270,1
271,1
272,2
273,1
274,2
275,1
276,2
277,1
278,1
279,2
280,1
281,1
282,1
283,2
284,1
285,2
286,2
287,2
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,2
296,1
297,1
298,1
299,2
300,1
301,2
302,2
303,1
304,2
305,2
306,1
307,2
308,2
309,1
310,1
311,2
312,1
313,1
314,1
315,2
316,2
317,1
318,2
319,2
320,2
321,1
322,2
323,2
324,2
325,1
326,1
327,1
328,2
329,1
330,2
331,1
332,1
333,1
334,2
335,2
336,2
337,1
338,1
339,2
340,2
341,2
342,2
343,2
344,2
345,1
346,2
347,1
348,2
349,2
350,1
351,2
352,2
353,2
354,2
355,2
356,1
357,1
358,1
359,1
360,2
361,1
362,2
363,2
364,2
365,1
366,2
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,2
376,1
377,1
378,2
379,2
380,1
381,2
382,1
383,2
384,1
385,1
386,2
387,2
388,2
389,2
390,2
391,1
392,1
393,1
394,2
395,2
396,2
397,2
398,1
399,1
400,2
401,1
402,2
403,1
404,2
405,2
406,2
407,2
408,1
409,2
410,2
411,1
412,1
413,1
414,1
415,2
416,1
417,1
418,2
419,1
420,1
421,2
422,1
423,1
424,2
425,1
426,1
427,2
428,2
429,1
430,1
431,1
432,2
433,2
434,2
435,1
436,2
437,2
438,2
439,2
440,1
441,2
442,1
443,2
444,2
445,1
446,2
447,1
448,2
449,1
450,2
451,2
452,1
453,2
454,1
455,1
456,2
457,1
458,2
459,2
460,2
461,1
462,2
463,2
464,2
465,1
466,1
467,1
468,2
469,1
470,2
471,2
472,1
473,1
474,2
475,2
476,2
477,1
478,2
479,2
480,2
481,1
482,1
483,2
484,2
485,1
486,1
487,2
488,1
489,1
490,1
491,1
492,1
493,1
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,1
503,1
504,1
505,2
506,2
507,2
508,2
509,2
510,1
511,1
512,1
513,2
514,1
515,1
516,1
517,2
518,1
519,1
520,2
521,1
522,2
523,2
524,2
525,1
526,1
527,2
528,2
529,2
530,1
531,1
532,1
533,2
534,2
535,2
536,2
537,2
538,2
539,1
540,1
541,1
542,1
543,1
544,2
545,1
546,1
547,2
548,2
549,2
550,2
551,2
552,2
553,1
554,1
555,2
556,2
557,2
558,2
559,2
560,2
561,1
562,2
563,2
564,2
565,1
566,1
567,1
568,1
569,1
570,2
571,1
572,1
573,2
574,1
575,1
576,2
577,1
578,1
579,1
580,1
581,2
582,2
583,1
584,2
585,2
586,2
587,2
588,2
589,1
590,1
591,2
592,2
593,1
594,2
595,2
596,2
597,1
598,1
599,1
600,2
601,2
602,1
603,1
604,1
605,2
606,1
607,1
608,1
609,1
610,2
611,1
612,2
613,1
614,2
615,2
616,2
617,2
618,2
619,1
620,1
621,1
622,1
623,1
624,2
625,1
626,2
627,1
628,2
629,1
630,1
631,1
632,1
633,1
634,1
635,2
636,1
637,2
638,2
639,1
640,2
641,1
642,1
643,2
644,2
645,2
646,1
647,1
648,1
649,1
650,2
651,2
652,1
653,2
654,2
655,2
656,2
657,2
658,1
659,1
660,1
661,2
662,1
663,1
664,1
665,2
666,2
667,2
668,1
669,2
670,2
671,1
672,2
673,2
674,1
675,2
676,1
677,1
678,2
679,1
680,2
681,1
682,1
683,1
684,1
685,2
686,1
687,2
688,1
689,2
690,1
691,2
692,1
693,1
694,2
695,1
696,2
697,2
698,2
699,2
700,2
701,2
702,1
703,1
704,2
705,2
706,1
707,1
708,2
709,1
710,1
711,1
712,1
713,1
714,1
715,2
716,2
717,1
718,1
719,1
720,2
721,2
722,2
723,1
724,1
725,2
726,1
727,2
728,2
729,1
730,1
731,2
