,0
0,2
1,1
2,2
3,2
4,2
5,2
6,2
7,1
8,1
9,2
10,1
11,1
12,2
13,2
14,1
15,2
16,2
17,2
18,2
19,2
20,1
21,2
22,2
23,2
24,1
25,2
26,1
27,2
28,2
29,2
30,1
31,2
32,2
33,2
34,1
35,1
36,2
37,1
38,2
39,1
40,1
41,1
42,1
43,2
44,2
45,1
46,2
47,1
48,2
49,2
50,2
51,2
52,1
53,1
54,1
55,2
56,2
57,1
58,1
59,2
60,2
61,1
62,2
63,2
64,2
65,2
66,1
67,1
68,2
69,2
70,2
71,1
72,2
73,2
74,1
75,2
76,2
77,1
78,1
79,1
80,2
81,1
82,1
83,2
84,1
85,1
86,2
87,2
88,2
89,1
90,2
91,1
92,2
93,2
94,2
95,2
96,1
97,2
98,1
99,1
100,2
101,2
102,2
103,1
104,2
105,1
106,2
107,1
108,2
109,2
110,1
111,1
112,1
113,1
114,2
115,1
116,2
117,2
118,1
119,1
120,2
121,2
122,2
123,2
124,2
125,1
126,1
127,2
128,1
129,1
130,1
131,1
132,1
133,1
134,2
135,2
136,1
137,2
138,1
139,2
140,2
141,1
142,2
143,2
144,1
145,1
146,2
147,2
148,2
149,1
150,1
151,1
152,2
153,1
154,2
155,1
156,1
157,2
158,2
159,2
160,1
161,2
162,2
163,1
164,2
165,1
166,1
167,2
168,1
169,2
170,1
171,1
172,2
173,1
174,1
175,2
176,1
177,1
178,2
179,2
180,1
181,1
182,2
183,2
184,2
185,2
186,2
187,1
188,1
189,2
190,2
191,2
192,1
193,1
194,1
195,2
196,2
197,1
198,2
199,2
200,2
201,2
202,2
203,2
204,1
205,1
206,2
207,1
208,2
209,1
210,2
211,1
212,2
213,2
214,2
215,2
216,1
217,1
218,2
219,2
220,2
221,1
222,2
223,1
224,2
225,2
226,1
227,2
228,1
229,2
230,2
231,2
232,1
233,2
234,2
235,1
236,2
237,1
238,1
239,2
240,1
241,1
242,1
243,2
244,1
245,2
246,2
247,1
248,1
249,1
250,2
251,1
252,2
253,1
254,2
255,2
256,1
257,2
258,2
259,1
260,2
261,1
262,1
263,2
264,2
265,1
266,1
267,2
268,1
269,1
270,1
271,2
272,2
273,1
274,1
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,1
283,1
284,2
285,2
286,1
287,2
288,2
289,1
290,2
291,2
292,1
293,2
294,2
295,2
296,1
297,1
298,1
299,1
300,1
301,2
302,1
303,2
304,2
305,1
306,2
307,1
308,2
309,1
310,1
311,2
312,2
313,2
314,2
315,1
316,1
317,2
318,1
319,1
320,1
321,1
322,1
323,2
324,1
325,2
326,1
327,2
328,2
329,2
330,2
331,1
332,2
333,1
334,2
335,2
336,2
337,1
338,1
339,1
340,1
341,1
342,2
343,2
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,2
352,1
353,2
354,2
355,1
356,1
357,2
358,1
359,2
360,1
361,2
362,1
363,1
364,1
365,1
366,2
367,1
368,2
369,1
370,1
371,2
372,1
373,1
374,2
375,2
376,2
377,2
378,1
379,1
380,1
381,2
382,1
383,1
384,1
385,2
386,1
387,1
388,2
389,2
390,1
391,2
392,2
393,1
394,2
395,2
396,2
397,2
398,1
399,2
400,1
401,1
402,2
403,1
404,2
405,2
406,2
407,2
408,1
409,1
410,1
411,1
412,1
413,2
414,2
415,2
416,1
417,1
418,1
419,2
420,1
421,2
422,2
423,2
424,2
425,2
426,1
427,1
428,2
429,1
430,2
431,2
432,2
433,2
434,2
435,1
436,1
437,1
438,2
439,2
440,2
441,1
442,2
443,1
444,1
445,2
446,2
447,2
448,1
449,1
450,1
451,1
452,1
453,1
454,2
455,2
456,1
457,1
458,1
459,1
460,2
461,1
462,1
463,2
464,2
465,1
466,1
467,1
468,1
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,1
481,1
482,1
483,2
484,2
485,1
486,1
487,2
488,1
489,1
490,1
491,2
492,2
493,1
494,2
495,2
496,1
497,1
498,2
499,1
500,2
501,2
502,1
503,2
504,1
505,2
506,1
507,2
508,2
509,2
510,1
511,1
512,2
513,2
514,2
515,2
516,1
517,1
518,1
519,2
520,2
521,2
522,1
523,1
524,1
525,1
526,1
527,2
528,2
529,2
530,1
531,1
532,1
533,1
534,1
535,2
536,2
537,1
538,1
539,2
540,2
541,2
542,1
543,2
544,1
545,2
546,1
547,1
548,1
549,2
550,1
551,2
552,2
553,2
554,1
555,1
556,2
557,2
558,2
559,2
560,1
561,1
562,2
563,2
564,2
565,1
566,1
567,2
568,2
569,2
570,2
571,2
572,1
573,2
574,2
575,2
576,2
577,2
578,2
579,1
580,2
581,2
582,1
583,2
584,1
585,1
586,2
587,2
588,2
589,2
590,1
591,1
592,2
593,1
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,1
603,1
604,1
605,2
606,2
607,1
608,1
609,2
610,1
611,2
612,1
613,2
614,2
615,2
616,2
617,1
618,2
619,1
620,1
621,2
622,2
623,2
624,2
625,1
626,1
627,2
628,1
629,2
630,2
631,2
632,1
633,1
634,1
635,2
636,1
637,2
638,1
639,2
640,1
641,2
642,1
643,1
644,2
645,1
646,1
647,1
648,2
649,1
650,1
651,1
652,1
653,2
654,2
655,1
656,2
657,1
658,1
659,1
660,1
661,2
662,2
663,2
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,2
672,2
673,1
674,1
675,2
676,2
677,1
678,1
679,2
680,2
681,1
682,1
683,1
684,2
685,2
686,2
687,2
688,2
689,2
690,1
691,1
692,1
693,2
694,1
695,1
696,2
697,2
698,2
699,1
700,1
701,1
702,1
703,1
704,1
705,2
706,1
707,1
708,1
709,1
710,1
711,2
712,1
713,2
714,1
715,1
716,1
717,2
718,1
719,2
720,2
721,1
722,1
723,2
724,2
725,1
726,2
727,1
728,2
729,1
730,2
731,2
